Freq(Hz),Z'(Ohm),"Z""(Ohm)"
856.8127214899482,100.50714219331428,-1.5608231793703076
768.9640567018716,100.55298536439106,-1.7019139522852298
690.1224802908528,100.60297253366417,-1.85575864022707
619.3644990970612,100.65747829827966,-2.0235101346652904
555.8613053440591,100.71691111713136,-2.206425542813117
498.86906858441176,100.78171637179716,-2.4058756082204757
447.720223008213,100.85237970416874,-2.62335498294243
401.8156480603804,100.92943065578689,-2.860493428261322
360.61765077612296,101.01344663615482,-3.1190680278993597
323.6436676347356,101.10505724976758,-3.401016505245839
290.4606121598046,101.20494901428368,-3.708451744396462
260.6798020576923,101.31387050519655,-4.043677623823546
233.9524064744823,101.43263796555877,-4.409206281332476
209.96536004384438,101.56214142279823,-4.807776939685657
188.43769586593098,101.70335135846433,-5.242376433970756
169.11725446448068,101.85732598088656,-5.716261594542443
151.77773017322716,102.02521915524599,-6.232983653272541
136.21602035512717,102.20828905048617,-6.796414856005641
122.24984640507832,102.40790756786258,-7.410777480650385
109.7156186702726,102.62557062178679,-8.080675478364197
98.46652027941231,102.86290935000844,-8.811128974946064
88.37078743614603,103.12170233714296,-9.6076118909864
79.31016603333052,103.40388894314628,-10.476092962694192
71.17852651001319,103.71158383661835,-11.423080470806044
63.880620726572054,104.04709284184614,-12.455671012769683
57.33096629695033,104.41293021834186,-13.581602683693907
51.45284530985853,104.81183750236659,-14.809313064596143
46.17740571069101,105.24680405163569,-16.148002452503565
41.44285481839419,105.72108944716466,-17.607702806245722
37.1937355307264,106.23824792013244,-19.199352924609375
33.38027673990301,106.80215498681342,-20.934880420230225
29.95781034986427,107.4170364911769,-22.827291103523255
26.88624806652941,108.08750027279535,-24.890766446482612
24.129611832536096,108.8185706973765,-27.140769856731726
21.655612406317545,109.61572630868649,-29.59416255822738
19.435271149298263,110.48494088402248,-32.26932994701174
17.442580591096615,111.43272820089896,-35.186319368906
15.654199796841278,112.46619085042333,-38.366990351632644
14.049180968354593,113.59307346316153,-41.83517841718606
12.608724076806796,114.82182074636151,-45.61687370203941
11.315956652786067,116.1616407674572,-49.740415723743446
10.15573615440417,117.62257395809178,-54.236705753472414
9.114472598521195,119.21556835576637,-59.13943838600789
8.179969377519468,120.9525616469657,-64.48535404251598
7.341280397070116,122.8465706265803,-70.31451429833791
6.588581861506815,124.91178874402269,-76.6706020990664
5.913057204993993,127.16369246703469,-83.60124911468411
5.306793820656121,129.6191572602622,-91.1583926849138
4.762690378027984,132.2965840477251,-99.3986650306805
4.274373643209655,135.21603710687538,-108.38381764838321
3.836123827417535,138.39939442760289,-118.18118406733258
3.442807589518621,141.87051166295893,-128.8641844381931
3.0898179077880132,145.65540090022256,-140.5128757337512
2.7730201165910606,149.78242559199566,-153.21455168513705
2.4887034759027853,154.28251310811515,-167.06439694934593
2.2335377063851234,159.18938650121675,-182.166200410298
2.0045339809052396,164.53981722277095,-198.633132958822
1.7990099155778296,170.37390068341153,-216.588595580142
1.614558150261835,176.73535672256793,-236.16714410431774
1.4490181504861979,183.6718572390821,-257.51549754960104
1.300450900512898,191.2353834380279,-280.7936376150902
1.1671161911100683,199.48261537089417,-306.17600756213875
1.047452236000632,208.47535668829326,-333.8528194687736
0.9400573782282965,218.2809977882337,-364.0314796535094
0.8436736721624843,228.97302083073032,-396.9381429504997
0.75717214883374,240.63155040326103,-432.81940748354833
0.6795395920083763,253.34395396368544,-471.9441626393946
0.6098666701068876,267.205496560263,-514.6056040887348
0.547337284952014,282.32005473515403,-561.1234309552747
0.4912190125853851,298.8008949613043,-611.846241598113
0.44085452418341203,316.77152244620925,-667.1541459611142
0.39565388658322687,336.3666066633844,-727.4616140658767
0.355087652232611,357.73299054734827,-793.220581994519
0.3186806576245907,381.0307909148892,-864.9238386380952
0.28600645757603915,406.4345983590292,-943.1087185904951
0.25668233015746944,434.1347856075245,-1028.3611288618608
0.23036479376536947,464.3389341505689,-1121.3199395871845
0.2067455838273129,497.27338982865666,-1222.6817716334633
0.18554804201388422,533.1849590379695,-1333.2062169830951
0.1665238756632532,572.3427582644288,-1453.7215310143827
0.1494502494606524,615.0402308065658,-1585.1308393363101
0.13412717530678983,661.5973458002676,-1728.418905690801
0.12037516980200672,712.3629960245916,-1884.6595116402002
0.10803315190764666,767.7176124574816,-2055.023503342357
0.09695655615935915,828.0760151745274,-2240.787565714803
0.08701563933188906,893.8905219550035,-2443.343789740383
0.07809396072084504,965.6543378906763,-2664.2101046104785
0.07008701824056893,1043.905251398654,-2905.041652882906
0.06290102436234453,1129.2296643356908,-3167.643193898367
0.05645180755516963,1222.266986415104,-3453.9826284050487
0.050663826361366494,1323.7144268574534,-3766.2057457430346
0.04546928455862411,1434.3322191829845,-4106.652304101993
0.04080733704412147,1554.9493182997282,-4477.87356435543
0.03662337713903369,1686.4696125804426,-4882.65140886763
0.03286839696542054,1829.878697480964,-5324.019188547333
0.02949841340341698,1986.2512614603863,-5805.284454372685
0.02647395290480231,2156.7591395523527,-6330.053743735015
0.023759589128427603,2342.680094939726,-6902.259607346629
0.021323527981697593,2545.407394340555,-7526.1900792485585
0.019137235207582544,2766.4602489621598,-8206.520810763066
0.017175102154984984,3007.495199266247,-8948.350109197809
0.015414145817536452,3270.318528861082,-9757.23714387742
0.013833739627296195,3556.8998005487365,-10639.243605813263
0.012415371850064106,3869.3866159647114,-11600.97913320333
0.0111424287523251,4210.12070941672,-12649.650843174912
0.01,4581.655496527705,-13793.1173409543
